1969	ABALONES	Diving Outfits, Abalone	331.9	731,600	1,160,947
1969	SHEEPHEAD, CALIFORNIA	Pots And Traps, Crab, Other	2.4	5,300	579
1969	SHEEPHEAD, CALIFORNIA	Lines Hand, Other	3.6	8,000	856
1969	SHRIMP, OCEAN	Otter Trawl Bottom, Other	5.4	12,000	5,313
1969	SHRIMP, OCEAN	Pots And Traps, Crab, Other	0.5	1,100	1,025
1969	SHRIMP, PENAEID	Otter Trawl Bottom, Other	1,337.0	2,947,600	412,652
1969	SILVERSIDES	Haul Seines, Beach	71.2	157,000	15,942
1969	SILVERSIDES	Purse Seines, Other	2.0	4,400	620
1969	SKATES	Otter Trawl Bottom, Other	26.0	57,400	726
1969	SKATES	Gill Nets, Other	3.3	7,300	105
1969	SKATES	Lines Hand, Other	1.6	3,500	42
1969	SKATES	Lines Troll, Other	7.8	17,200	206
1969	SMELT, EULACHON	Haul Seines, Beach	79.8	176,000	14,131
1969	SMELT, EULACHON	Purse Seines, Other	18.6	41,000	5,083
1969	SMELTS	Purse Seines, Other	53.8	118,500	5,914
1969	SMELTS	Gill Nets, Other	15.1	33,200	1,362
1969	SMELTS	Brail Or Scoop	20.3	44,800	3,667
1969	SOLE, DOVER	Otter Trawl Bottom, Other	5,859.9	12,918,800	925,170
1969	SOLE, DOVER	Lines Troll, Other	0.1	200	15
1969	SOLE, ENGLISH	Otter Trawl Bottom, Other	1,725.3	3,803,700	334,396
1969	SOLE, ENGLISH	Lines Hand, Other	0.0	100	9
1969	SOLE, ENGLISH	Lines Troll, Other	0.1	200	20
1969	SOLE, PETRALE	Otter Trawl Bottom, Other	1,300.2	2,866,500	387,292
1969	SOLE, PETRALE	Lines Hand, Other	0.2	400	62
1969	SOLE, PETRALE	Lines Troll, Other	0.1	200	30
1969	SOLE, REX	Otter Trawl Bottom, Other	1,024.7	2,259,000	217,761
1969	SOLE, REX	Lines Hand, Other	0.1	200	18
1969	SOLE, SAND	Otter Trawl Bottom, Other	92.4	203,800	23,221
1969	SPOTTED CABRILLA	Lines Hand, Other	2.6	5,800	1,073
1969	SQUIDS	Purse Seines, Other	8,999.9	19,841,200	533,873
1969	SQUIDS	Otter Trawl Bottom, Other	0.1	300	12
1969	SQUIDS	Brail Or Scoop	425.4	937,900	21,541
1969	SURFPERCHES	Haul Seines, Beach	30.3	66,900	17,348
1969	SURFPERCHES	Purse Seines, Other	4.8	10,500	1,875
1969	SURFPERCHES	Otter Trawl Bottom, Other	1.0	2,300	333
1969	SURFPERCHES	Gill Nets, Crab	0.5	1,200	300
1969	SURFPERCHES	Gill Nets, Other	32.3	71,100	15,103
1969	SURFPERCHES	Lines Hand, Other	2.0	4,500	765
1969	SWORDFISH	Lines Hand, Other	6.2	13,600	6,861
1969	SWORDFISH	Harpoons, Swordfish	461.8	1,018,000	503,714
1969	TUNA, ALBACORE	Purse Seines, Other	9.1	20,000	4,496
1969	TUNA, ALBACORE	Lines Hand, Other	4,543.3	10,016,200	2,193,874
1969	TUNA, ALBACORE	Lines Troll, Other	2,125.6	4,686,200	937,734
1969	TUNA, BLUEFIN PACIFIC	Purse Seines, Other	6,549.9	14,440,000	2,278,301
1969	TUNA, BLUEFIN PACIFIC	Lines Hand, Other	360.5	794,700	126,777
1969	TUNA, SKIPJACK	Purse Seines, Other	17,860.0	39,374,100	5,281,380
1969	TUNA, SKIPJACK	Lines Hand, Other	2,966.7	6,540,400	878,165
1969	TUNA, YELLOWFIN	Purse Seines, Other	85,819.6	189,198,000	30,540,472
1969	TUNA, YELLOWFIN	Lines Hand, Other	6,891.8	15,193,600	2,452,678
1969	WHALES	Harpoons, Whale	2,173.9	4,792,600	328,283
1969	WHITEFISH, LAKE	Lines Hand, Other	2.0	4,500	518
1969	YELLOWTAIL JACK	Purse Seines, Other	65.5	144,400	17,410
1969	YELLOWTAIL JACK	Lines Hand, Other	40.7	89,800	11,077
